#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237651250408194072,123.063697194328,44.5408557693945,16.59983,15.27566,15.15763,15.17283,15.20696,1345,301,2,102,494297853263374336,STAR,0.0004643674,439,51877,101
1237651250408194233,123.259370350641,44.5316885076252,17.76799,16.28781,15.69858,15.33553,15.09254,1345,301,2,102,494300052286629888,GALAXY,0.05918689,439,51877,109
1237651250408259745,123.303598261726,44.5715516264822,18.56464,17.19332,16.54183,16.16367,15.89449,1345,301,2,103,494301976431978496,GALAXY,0.07471289,439,51877,116
1237651250408325128,123.447335150191,44.7087391124564,19.03159,18.80983,18.64187,18.44877,18.44001,1345,301,2,104,494302801065699328,QSO,1.441586,439,51877,119
1237651250408325346,123.340762337246,44.7869828072946,19.3863,18.16919,17.47662,17.03359,16.76499,1345,301,2,104,494303075943606272,GALAXY,0.1280762,439,51877,120
1237651250408325355,123.479031868088,44.7286088677193,19.50593,18.08334,17.30471,16.90113,16.57231,1345,301,2,104,494291256193607680,GALAXY,0.1476532,439,51877,77
1237651250408390733,123.663940854889,44.8785754636631,18.69524,17.68203,17.39062,17.23949,17.22007,1345,301,2,105,9320425220878606336,STAR,0.0003878302,8278,56990,821
1237651250408390854,123.722469492239,44.8521217176693,18.91934,17.57406,16.88077,16.46481,16.18688,1345,301,2,105,494289881804072960,GALAXY,0.08530673,439,51877,72
1237651250408456286,123.863710392942,44.9937298801718,18.56155,18.34755,18.06623,18.02979,17.625,1345,301,2,106,494279436443609088,QSO,0.2679224,439,51877,34
1237651250408521865,123.830581674201,45.0592119547708,18.67493,16.61952,15.71736,15.2792,14.91983,1345,301,2,107,494433093193590784,GALAXY,0.0587008,439,51877,593
1237651250408849622,124.502694670809,45.7932403185296,19.15396,18.024,17.50588,17.14632,16.90554,1345,301,2,112,496575491449317376,GALAXY,0.04929656,441,51868,195
1237651211750342739,257.330046962861,58.4711132307393,18.49265,16.76347,16.18496,15.79261,15.54509,1336,301,2,54,397501244681250816,GALAXY,0.07868908,353,51703,213
1237651211750342899,257.052752733014,58.43330115905,18.9691,16.8947,15.90613,15.43494,15.06058,1336,301,2,54,399784382002391040,GALAXY,0.08069587,355,51788,327
1237651211750342941,257.101220597814,58.4172460089078,19.05785,17.96494,17.45159,17.10619,16.89116,1336,301,2,54,397499045657995264,GALAXY,0.1105952,353,51703,205
1237651211750342950,257.263391385244,58.4444670737806,19.28185,18.31156,17.57504,17.15874,16.90825,1336,301,2,54,397497946146367488,GALAXY,0.2063583,353,51703,201
1237651211750342969,257.221583023645,58.4033129903484,19.30215,17.79366,17.06886,16.66182,16.39942,1336,301,2,54,397500145169623040,GALAXY,0.08031341,353,51703,209
1237651211750342981,257.213307818251,58.3831340129875,19.53561,18.2305,17.5243,17.15586,16.91654,1336,301,2,54,397499320535902208,STAR,-0.0001801066,353,51703,206
1237651211750408347,257.273239661476,58.2382803535475,19.13488,18.76467,18.82991,18.55767,18.57014,1336,301,2,55,397499595413809152,QSO,0.6252932,353,51703,207
1237651211750408484,257.259874510865,58.2743432544482,19.40401,17.48291,16.44725,16.00471,15.64364,1336,301,2,55,397498221024274432,GALAXY,0.1276045,353,51703,202
1237651211750473819,257.488439721422,58.1802203109098,19.31704,17.51487,16.59875,16.16696,15.85483,1336,301,2,56,397479254448695296,GALAXY,0.08072405,353,51703,133
1237651211750539649,257.580982030861,57.9518276280859,18.76022,17.68469,17.20698,16.90083,16.7262,1336,301,2,57,399797301264017408,GALAXY,0.09576304,355,51788,374
1237651211750670551,257.580399688827,57.7371350287403,19.12095,17.45467,16.69093,16.27564,15.98684,1336,301,2,59,399799500287272960,GALAXY,0.1215065,355,51788,382
1237651211750735975,257.957502056639,57.589542372016,16.39133,14.47491,13.60959,13.17776,12.85308,1336,301,2,60,399815443205875712,GALAXY,0.02999563,355,51788,440
1237651211750736201,257.708342745883,57.5272948171812,18.79975,17.88201,17.40712,17.01617,16.85153,1336,301,2,60,399802523944249344,GALAXY,0.1009502,355,51788,393
1237651211750801512,258.027634983967,57.5040078305076,17.47959,15.70665,14.93075,14.5503,14.25795,1336,301,2,61,399813519060527104,GALAXY,0.02816579,355,51788,433
1237651211750801643,257.916901279354,57.5111105169734,18.55475,17.45681,16.97884,16.71017,16.52126,1336,301,2,61,399811594915178496,GALAXY,0.03015899,355,51788,426
1237651211750801729,257.907274040554,57.4401794386376,18.2526,16.58968,15.75928,15.30821,14.95068,1336,301,2,61,399814893450061824,GALAXY,0.03039621,355,51788,438
1237651211750867036,257.966996708181,57.2788418639574,19.3006,19.32668,19.28161,18.98548,19.03137,1336,301,2,62,399767339572160512,QSO,1.784983,355,51788,265
1237651211750867206,258.158717654645,57.322410924839,17.57343,15.88233,15.03514,14.59613,14.24981,1336,301,2,62,399759917868673024,GALAXY,0.02662984,355,51788,238
1237651211750867269,258.220809570611,57.2816719305045,18.91222,17.45491,16.7774,16.41092,16.09914,1336,301,2,62,399757443967510528,GALAXY,0.02758185,355,51788,229
1237651211750932696,257.957551548096,57.1109194436844,17.0424,15.21118,14.39265,13.93922,13.63145,1336,301,2,63,399769538595416064,GALAXY,0.0303001,355,51788,273
1237651211750932811,257.989497590239,57.1416613177671,18.73355,17.54823,16.9693,16.65038,16.43103,1336,301,2,63,399770638107043840,GALAXY,0.03101743,355,51788,277
1237651211750998340,258.143402457057,56.9688544397112,19.09215,17.89067,17.22924,16.87098,16.66727,1336,301,2,64,399757718845417472,GALAXY,0.1205729,355,51788,230
1237651211751063591,258.278046102655,56.9237760340719,17.99417,17.92385,18.30864,18.53697,18.88113,1336,301,2,65,399754145432627200,STAR,-0.0001446985,355,51788,217
1237651211751129160,258.523066144451,56.7848228813464,18.68559,18.29103,18.36149,18.49298,18.62869,1336,301,2,66,399731605444257792,STAR,-0.0001680198,355,51788,135
1237651211751194729,258.549227730881,56.6100475070945,19.59852,17.91202,17.05093,16.60682,16.30426,1336,301,2,67,399732704955885568,GALAXY,0.09857068,355,51788,139
1237651211751325876,258.700844029352,56.41338505469,19.3908,18.03648,17.38549,16.97649,16.71538,1336,301,2,69,413297383414196224,GALAXY,0.08735051,367,51997,335
1237651211751325912,258.555475574484,56.3385097101338,19.23534,17.8402,17.05461,16.62844,16.30484,1336,301,2,69,413297933170010112,GALAXY,0.1149563,367,51997,337
1237651211751325935,258.812644079491,56.3662486444963,19.53716,19.0985,18.95388,18.65108,18.53703,1336,301,2,69,399729681298909184,QSO,0.5405327,355,51788,128
1237651211751326000,258.625474536524,56.2566306144599,19.48316,18.94295,18.792,18.54244,18.49366,1336,301,2,69,413298208047917056,QSO,2.304483,367,51997,338
1237651211751456804,258.920553551383,56.1152390656985,18.92966,18.77053,18.40847,18.26389,17.87205,1336,301,2,71,413311402187450368,QSO,0.2971374,367,51997,386
1237651211751522683,258.772338415373,55.9034738719048,19.55156,18.18547,17.14212,16.65833,16.34081,1336,301,2,72,413315250478147584,GALAXY,0.1902303,367,51997,400
1237651211751653384,258.903171548214,55.6427250850132,19.44779,18.01105,17.22952,16.78905,16.49509,1336,301,2,74,413314150966519808,GALAXY,0.1037369,367,51997,396
1237651211751653395,259.217449880761,55.7024219004816,16.84524,15.71362,15.3651,15.26429,15.23466,1336,301,2,74,413321847547914240,STAR,-0.0001964159,367,51997,424
1237651211751653528,259.072254212568,55.5796196200607,16.68636,16.90555,17.38866,17.72249,18.13518,1336,301,2,74,413282265129314304,STAR,-0.0002710753,367,51997,280
1237651211751653680,259.069776170451,55.601360028187,19.10781,17.81451,17.23527,16.86968,16.65664,1336,301,2,74,413314425844426752,GALAXY,0.07282738,367,51997,397
1237651211751915628,259.52681065368,55.0813463418813,17.17673,16.07898,15.67779,15.52912,15.50557,1336,301,2,78,413267971478153216,STAR,-0.0001191098,367,51997,228
1237651211751981242,259.405018918858,54.8342563531788,17.80009,16.59077,16.16435,16.02015,15.98298,1336,301,2,79,413272919280478208,STAR,-0.0002814044,367,51997,246
1237651211752046881,259.712448247266,54.7531262674979,18.45263,16.81466,15.93076,15.49784,15.12863,1336,301,2,80,413264672943269888,GALAXY,0.1105728,367,51997,216
1237651211752046906,259.509186174779,54.6993124567594,19.28301,18.05584,17.99613,17.97915,18.00218,1336,301,2,80,413276767571175424,STAR,-0.000887304,367,51997,260
1237651211752112247,259.809339906604,54.6063009374499,17.08641,15.85626,16.03604,16.16472,16.24779,1336,301,2,81,413261374408386560,STAR,-0.0004308947,367,51997,204
1237651211752177674,259.675792237667,54.5488046083356,19.38235,17.27818,16.2275,15.81372,15.47477,1336,301,2,82,413261649286293504,GALAXY,0.1085978,367,51997,205
1237651211752177838,259.682710355827,54.4250123787308,18.725,17.59722,17.52347,17.53314,17.61228,1336,301,2,82,404287432427595776,STAR,-0.0009063977,359,51821,325
1237651211752243373,260.02574819109,54.3194682915563,19.042,17.57456,16.89603,16.30494,15.85031,1336,301,2,83,404291005840386048,STAR,-0.0002300247,359,51821,338
1237651211752308852,259.967571883999,54.1916142791275,18.93604,18.61849,18.43977,18.48143,18.33822,1336,301,2,84,413263298553735168,QSO,0.9280384,367,51997,211
1237651211752308921,259.986954417107,54.2903235258659,17.05424,15.56767,14.90774,14.53095,14.28518,1336,301,2,84,413265497576990720,GALAXY,0.06189569,367,51997,219
1237651211752374439,260.174719502352,54.0569080137715,17.48475,16.20944,15.66813,15.46966,15.35363,1336,301,2,85,413239384175831040,STAR,-0.0002359922,367,51997,124
1237651211752374514,259.847226298801,54.1026945623661,18.05212,16.79111,16.1737,15.7934,15.55958,1336,301,2,85,413262199042107392,GALAXY,0.07853378,367,51997,207
1237651211752374575,259.856768683899,54.0658142865665,19.42605,18.24995,17.59837,17.21155,16.97779,1336,301,2,85,404303100468291584,GALAXY,0.1472228,359,51821,382
1237651211752440019,260.021924015755,53.9507916064694,18.79996,17.0941,16.30359,15.89755,15.60326,1336,301,2,86,413263023675828224,GALAXY,0.0297886,367,51997,210
1237648702966333656,183.155386244687,-1.22370376469484,18.9397,18.03588,17.71214,17.58936,17.5762,752,301,1,264,3722260084093460480,STAR,-0.0001818549,3306,54922,127
1237648702966399012,183.239158812341,-1.06269724632694,17.40384,16.44162,16.23563,16.186,16.21599,752,301,1,265,3722261458482995200,STAR,0.0002223291,3306,54922,132
1237648702966399072,183.249800302644,-1.1166530486774,19.15237,17.99284,17.60832,17.47534,17.43415,752,301,1,265,363688511871674368,STAR,0.0002098665,323,51615,83
1237648702966399088,183.293015700681,-1.19554066009257,19.4189,19.26654,18.84102,18.86815,18.98317,752,301,1,265,323193780343695360,QSO,1.131862,287,52023,220
1237648702966530181,183.569519234275,-1.10524362382603,19.12726,17.9419,17.4106,17.19551,17.08873,752,301,1,267,3722250738244624384,STAR,0.00138471,3306,54922,93
1237648702966530213,183.473996408824,-1.23142863029173,17.64879,16.49474,15.87173,15.4981,15.2808,752,301,1,267,323171790111139840,GALAXY,0.08193589,287,52023,140
1237648702966530252,183.526204891744,-1.16399075479358,19.07644,17.19797,16.30089,15.8828,15.56139,752,301,1,267,323167392064628736,GALAXY,0.07057208,287,52023,124
1237648702966530271,183.566816096543,-1.13587774148867,19.34089,17.41159,16.39621,15.92878,15.54577,752,301,1,267,323168491576256512,GALAXY,0.0996795,287,52023,128
1237648702966530336,183.612650615662,-1.12409775377337,19.26156,18.13403,17.31124,16.86835,16.58677,752,301,1,267,323156122070444032,GALAXY,0.1780877,287,52023,83
1237648702966595650,183.702838747642,-1.07713577932925,17.85999,16.54563,16.05583,15.8433,15.74548,752,301,1,268,3722238918494625792,STAR,0.0002395214,3306,54922,50
1237648702966595652,183.70449115527,-1.17835905651188,19.00703,17.37258,16.68719,16.40405,16.24372,752,301,1,268,363680265534466048,STAR,0.0004978543,323,51615,53
1237648702966595654,183.707910081835,-1.21250054243076,18.71876,18.2819,18.26961,18.2414,18.19143,752,301,1,268,364806166296946688,QSO,0.6705019,324,51666,53
1237648702966595665,183.730154622798,-1.12014958601342,18.39118,17.12011,17.20391,17.26423,17.32476,752,301,1,268,3722238368738811904,STAR,0.000303277,3306,54922,48
1237648702966595724,183.723813145994,-1.06479044616795,19.46423,18.04963,17.51959,17.27666,17.179,752,301,1,268,363677241877489664,STAR,2.311568E-05,323,51615,42
1237648702966595749,183.758814562256,-1.14229589709452,19.50271,18.76049,18.65779,18.51935,18.24256,752,301,1,268,4252696109124657152,QSO,2.351637,3777,55210,626
1237648702966661167,183.82603360258,-1.1098458945744,18.35799,16.40675,15.52149,15.10122,14.76636,752,301,1,269,323155847192537088,GALAXY,0.07594268,287,52023,82
1237648702966661285,183.859374501063,-1.19507752734831,19.57924,18.51185,18.18766,17.99696,17.93033,752,301,1,269,364793796791134208,STAR,0.000583659,324,51666,8
1237648702966661296,183.901898419851,-1.17398092530235,19.34145,17.35735,16.3837,15.94484,15.58079,752,301,1,269,323144577198352384,GALAXY,0.07562031,287,52023,41
1237648702966726680,183.94310111076,-1.22769259984084,18.87007,17.03356,16.25884,15.90507,15.71206,752,301,1,270,3722229297767882752,STAR,-5.020142E-05,3306,54922,15
1237648702966726694,183.964238340168,-1.20695533615583,17.77141,16.57381,16.08228,15.87215,15.79038,752,301,1,270,3722227923378348032,STAR,0.0002056832,3306,54922,10
1237648702966726705,183.982089587399,-1.24603110677532,19.06868,17.96508,17.49677,17.30542,17.27109,752,301,1,270,3722226823866720256,STAR,0.000606571,3306,54922,6
1237648702966726812,183.969398862131,-1.20398936150361,18.67024,17.3274,16.66518,16.27936,16.0012,752,301,1,270,323145951587887104,GALAXY,0.0795421,287,52023,46
1237648702966792209,184.106588706095,-1.08245167556202,17.47356,16.51067,16.19124,16.04983,16.00548,752,301,1,271,323146776221607936,STAR,1.724697E-05,287,52023,49
1237648702966792250,184.187951946634,-1.05461744006413,18.95729,17.75833,17.39408,17.22012,17.1327,752,301,1,271,323136330861144064,STAR,0.0005661169,287,52023,11
1237648702966792310,184.152964310552,-1.08233966684496,18.48495,17.38919,17.0689,16.88264,16.72604,752,301,1,271,323136880616957952,GALAXY,0.02136928,287,52023,13
1237648702966792419,184.077316365094,-1.06923175763648,18.79201,17.71587,17.31064,17.09239,16.98464,752,301,1,271,323147051099514880,GALAXY,0.03146952,287,52023,50
1237648702966857828,184.299666890691,-1.06969816473122,19.33407,18.19381,17.72419,17.549,17.46851,752,301,1,272,3722226548988813312,STAR,0.0005822395,3306,54922,5
1237648702966923291,184.47618751751,-1.17954045572887,18.16135,16.92731,17.02256,17.10938,17.11699,752,301,1,273,375038232359888896,STAR,-8.290143E-05,333,52313,413
1237648702966923322,184.370750868074,-1.06639251787147,19.24695,18.14896,17.49914,17.11604,16.88354,752,301,1,273,324325727178614784,GALAXY,0.157098,288,52000,242
1237648702966923328,184.383356108243,-1.08295974580749,19.39275,17.921,17.06458,16.63083,16.33663,752,301,1,273,324327926201870336,GALAXY,0.1586266,288,52000,250
1237648702966923367,184.440571323346,-1.19924847317973,18.06068,17.04281,16.69544,16.39104,16.25756,752,301,1,273,324327376446056448,GALAXY,0.07009142,288,52000,248
1237648702966923474,184.388030181177,-1.19313310179722,19.24533,18.13623,17.77322,17.5135,17.37947,752,301,1,273,324329025713498112,GALAXY,0.07794146,288,52000,254
1237648702966988820,184.535643327678,-1.06411290806298,16.20415,14.48584,13.77155,13.41108,13.17842,752,301,1,274,324329850347218944,GALAXY,0.01902536,288,52000,257
1237648702966988950,184.605935673647,-1.21635577127104,17.61754,16.43764,16.53951,16.6374,16.75182,752,301,1,274,324316106451871744,STAR,0.0004140054,288,52000,207
1237648702967054406,184.70617035818,-1.23694713440626,17.78422,16.50031,15.87221,15.49801,15.28736,752,301,1,275,324315831573964800,GALAXY,0.06989451,288,52000,206
1237648702967054436,184.751258152915,-1.11489842610359,19.42303,17.9242,17.15133,16.72932,16.40958,752,301,1,275,324293841341409280,GALAXY,0.1201394,288,52000,126
1237648702967119973,184.864163941743,-1.2367543839316,19.21148,18.30171,18.01249,17.8973,17.8553,752,301,1,276,4252753833485115392,STAR,-0.0001336603,3777,55210,836
1237648702967119996,184.944258627579,-1.19994139037067,18.24933,17.00582,16.33551,15.91403,15.63367,752,301,1,276,324314457184430080,GALAXY,0.08496574,288,52000,201
1237648702967185438,185.030831138814,-1.08064815720326,16.96588,16.02831,15.7549,15.64717,15.60259,752,301,1,277,2880131470876239872,STAR,0.0007623834,2558,54140,289
1237648702967185465,185.069421812086,-1.05112890643708,17.262,16.14839,15.70567,15.5601,15.49644,752,301,1,277,324284770370480128,STAR,0.000156675,288,52000,93
1237648702967185504,185.012159039012,-1.11144110859263,19.53371,18.75589,18.2605,17.93995,17.8565,752,301,1,277,324281471835596800,GALAXY,0.1572003,288,52000,81
1237648702967185571,185.098797691315,-1.13548639556553,19.35455,17.83797,17.03366,16.61604,16.34077,752,301,1,277,324285595004200960,GALAXY,0.1188491,288,52000,96
1237648702967250946,185.115525706253,-1.15769885243,18.93968,18.06637,17.73665,17.63644,17.58556,752,301,1,278,4330258410089979904,STAR,0.001028295,3846,55327,172
1237648702967251083,185.190102452908,-1.10340714820863,19.58956,17.802,17.0892,16.86734,16.72746,752,301,1,278,2880130096486705152,STAR,-3.773064E-05,2558,54140,284
1237648702967251093,185.210611378579,-1.10329519405427,19.33946,17.54367,16.46906,16.02215,15.67555,752,301,1,278,324270476719319040,GALAXY,0.1326728,288,52000,41
1237648702967316510,185.311925825982,-1.16990167703766,17.42006,16.41083,16.05819,15.93827,15.88165,752,301,1,279,2891388271139514368,STAR,0.0001611509,2568,54153,281
1237648702967316514,185.31535835869,-1.22870819269757,17.86673,16.70224,16.28561,16.13842,16.07762,752,301,1,279,2880130921120425984,STAR,3.458911E-05,2558,54140,287
1237648702967316528,185.375566412656,-1.1162723751073,17.27085,16.35222,16.06819,15.98103,15.95781,752,301,1,279,2880118276736706560,STAR,0.0002869159,2558,54140,241
1237648702967316573,185.301080203946,-1.11506002819162,19.27254,18.06012,17.47485,17.14241,16.91897,752,301,1,279,324270751597225984,GALAXY,0.1086603,288,52000,42
1237648702967447565,185.578586142612,-1.05055669598259,18.52118,17.25332,16.69353,16.49101,16.38326,752,301,1,281,2880120475759962112,STAR,0.0001689474,2558,54140,249
1237650372091445363,177.409024478856,-1.36066898907626,19.57838,17.85519,17.00397,16.60471,16.27657,1140,301,6,164,371637718729385984,GALAXY,0.08151474,330,52370,330
1237650372091510867,177.651422833644,-1.40958737373426,16.5402,15.8165,15.49251,15.36377,15.19122,1140,301,6,165,370587954734721024,GALAXY,0.01977592,329,52056,607
1237650372091510982,177.638346758976,-1.354527407657,18.00855,16.98136,16.31665,15.93643,15.66763,1140,301,6,165,370588504490534912,GALAXY,0.1602494,329,52056,609
1237650372091707561,178.106431754942,-1.26746192003998,19.14608,17.34161,16.66989,16.31486,16.02782,1140,301,6,168,371646239944501248,GALAXY,0.06049173,330,52370,361
1237650372091773097,178.287236331685,-1.43046049557562,19.59029,17.79857,16.79276,16.29816,15.92162,1140,301,6,169,371659708961941504,GALAXY,0.1374702,330,52370,410
1237650372091904124,178.513606805636,-1.33599827590994,19.56349,18.0855,17.29899,16.9093,16.6213,1140,301,6,171,371672353345660928,GALAXY,0.1361847,330,52370,456
1237650372091969592,178.722436969284,-1.37613118229119,18.97726,17.81607,17.40886,17.27674,17.23221,1140,301,6,172,371692144554960896,STAR,3.449774E-05,330,52370,528
1237650372091969697,178.68893400688,-1.42965642123995,18.87051,17.01004,16.12286,15.70959,15.39098,1140,301,6,172,371690495287519232,GALAXY,0.07704803,330,52370,522
1237650372092035080,178.757655773001,-1.38638673342211,18.29164,16.40007,15.35696,15.01536,14.60994,1140,301,6,173,371693518944495616,GALAXY,0.1309946,330,52370,533
1237650372092035132,178.877721872938,-1.26141402233106,16.44967,15.23327,14.61123,14.32096,14.00248,1140,301,6,173,371703139671238656,GALAXY,0.01927742,330,52370,568
1237650372092035342,178.892645705325,-1.35453132362249,19.06544,17.56115,16.81286,16.36483,16.03248,1140,301,6,173,371703414549145600,GALAXY,0.08206546,330,52370,569
1237650372092100732,178.900496778259,-1.401374414852,18.88969,17.45173,16.67817,16.19766,15.88523,1140,301,6,174,371705338694494208,GALAXY,0.07605755,330,52370,576
1237650372092166311,179.182514823092,-1.36191366714422,17.90275,16.67601,16.14227,15.83863,15.62194,1140,301,6,175,371713310153795584,GALAXY,0.0182975,330,52370,605
1237650372092166327,179.189785685351,-1.29334386407672,16.76746,15.50241,14.99784,14.73806,14.59178,1140,301,6,175,371715234299144192,GALAXY,0.01925692,330,52370,612
1237650372092362784,179.568835812987,-1.38604088488028,19.14181,19.49186,19.93278,20.37663,20.9758,1140,301,6,178,372764992992208896,STAR,-0.0001751547,331,52368,335
1237650372092362833,179.506022446685,-1.3792988778127,19.24121,17.32592,16.42026,16.00744,15.68261,1140,301,6,178,372761144701511680,GALAXY,0.08048977,331,52368,321
